Review,Review note,Title,Title (de),Title (ru),Title (uk),Title (ar),Title (tr),Starts at,Ends at,All day,Place name,Address,District,Provider name,Min age (years),Max age (years),Languages,Activity categories,Price type,Price text,Event link,Description (English),Description (de),Description (ru),Description (uk),Description (ar),Description (tr),Source link,ID
,,Johannstadt Kite Festival (19. JohannStädter Drachenfest),19. JohannStädter Drachenfest,Фестиваль воздушных змеев в Йоханштадте,Фестиваль повітряних зміїв у Йоганштадті,مهرجان الطائرات الورقية في يوهانشتات,Johannstadt Uçurtma Şenliği,2026-09-27 11:00,2026-09-27 17:00,no,Elbwiesen am Fährgarten Johannstadt,"Käthe-Kollwitz-Ufer 23b, 01307 Dresden",Altstadt,,,,de,nature;art,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/384dabe8-756c-4014-aa9e-15db01424aa8,"Kite festival on the Elbe meadow next to Fährgarten Johannstadt: fly kites with family and neighbours, craft stations by local groups, music, face painting and snacks. Organised by JohannStadt Quartier e.V. during the Intercultural Days. Free.","Drachenfest auf der Elbwiese neben dem Fährgarten Johannstadt: gemeinsam mit Familie und Nachbarn Drachen steigen lassen, Bastelangebote von Vereinen aus dem Stadtteil, Musik, Kinderschminken und Imbiss. Veranstaltet vom JohannStadt Quartier e. V. im Rahmen der Interkulturellen Tage. Eintritt frei.","Фестиваль воздушных змеев на лугу у Эльбы рядом с Fährgarten Johannstadt: запускайте змеев вместе с семьёй и соседями, мастер-классы местных организаций, музыка, аквагрим и закуски. Организатор — JohannStadt Quartier e. V., в рамках Межкультурных дней. Вход свободный.","Фестиваль повітряних зміїв на луці біля Ельби поруч із Fährgarten Johannstadt: запускайте зміїв разом із родиною та сусідами, творчі майстерні місцевих організацій, музика, аквагрим і перекуси. Організатор — JohannStadt Quartier e. V., у межах Міжкультурних днів. Вхід вільний.",مهرجان للطائرات الورقية على مرج نهر الإلبه بجوار Fährgarten Johannstadt: أطلقوا الطائرات الورقية مع العائلة والجيران، وورش أشغال يدوية من جمعيات الحي، وموسيقى ورسم على الوجه ووجبات خفيفة. تنظمه جمعية JohannStadt Quartier e. V. ضمن الأيام بين الثقافات. الدخول مجاني.,"Fährgarten Johannstadt yanındaki Elbe çayırında uçurtma şenliği: aile ve komşularla uçurtma uçurma, mahalle derneklerinden el işi atölyeleri, müzik, yüz boyama ve atıştırmalıklar. Kültürlerarası Günler kapsamında JohannStadt Quartier e. V. düzenliyor. Giriş ücretsiz.",https://www.dresden.de/apps_ext/IKT/event/384dabe8-756c-4014-aa9e-15db01424aa8,d5c085a4-b0db-4929-a1ae-086a3acf6186
,,Intercultural family festival at KJH Chilli,Interkulturelles Familienfest,Межкультурный семейный праздник в KJH Chilli,Міжкультурне родинне свято в KJH Chilli,مهرجان عائلي متعدد الثقافات في KJH Chilli,KJH Chilli'de kültürlerarası aile şenliği,2026-09-27 14:00,2026-09-27 18:00,no,Kinder- und Jugendhaus Chilli,"Österreicher Straße 54, 01279 Dresden",Leuben,,,,de,music,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/8e664b15-c764-4a60-8ae3-1f57f223e01a,"Big family party at the Chilli children's and youth centre in Laubegast: bouncy castle, food from around the world, games and music with Musaik – Grenzenlos musizieren e.V. Organised by Laubegast ist bunt e.V. during the Intercultural Days. Free.","Großes Familienfest im Kinder- und Jugendhaus Chilli in Laubegast mit Hüpfburg, Kulinarischem aus aller Welt, Spiel, Spaß und Musik mit Musaik – Grenzenlos musizieren e. V. Veranstaltet von Laubegast ist bunt e. V. im Rahmen der Interkulturellen Tage. Eintritt frei.","Большой семейный праздник в детско-молодёжном центре Chilli в Лаубегасте: надувной батут, блюда со всего мира, игры и музыка с Musaik – Grenzenlos musizieren e. V. Организатор — Laubegast ist bunt e. V., в рамках Межкультурных дней. Вход свободный.","Велике родинне свято в дитячо-молодіжному центрі Chilli у Лаубегасті: надувний батут, страви з усього світу, ігри та музика з Musaik – Grenzenlos musizieren e. V. Організатор — Laubegast ist bunt e. V., у межах Міжкультурних днів. Вхід вільний.",حفل عائلي كبير في مركز الأطفال والشباب Chilli في حي لاوبيغاست: قلعة نطاطة، وأطعمة من أنحاء العالم، وألعاب وموسيقى مع جمعية Musaik – Grenzenlos musizieren e. V. تنظمه جمعية Laubegast ist bunt e. V. ضمن الأيام بين الثقافات. الدخول مجاني.,"Laubegast'taki Chilli çocuk ve gençlik merkezinde büyük aile şenliği: şişme kale, dünya mutfağından lezzetler, oyunlar ve Musaik – Grenzenlos musizieren e. V. ile müzik. Kültürlerarası Günler kapsamında Laubegast ist bunt e. V. düzenliyor. Giriş ücretsiz.",https://www.dresden.de/apps_ext/IKT/event/8e664b15-c764-4a60-8ae3-1f57f223e01a,a45c0e0f-3125-45a7-a0c8-3fc8ea4652b4
,,El Cuentacuentos – stories and songs in Spanish,El Cuentacuentos – Geschichten erzählen und Lieder auf Spanisch,El Cuentacuentos – сказки и песни на испанском,El Cuentacuentos – казки та пісні іспанською,El Cuentacuentos – حكايات وأغانٍ بالإسبانية,El Cuentacuentos – İspanyolca masallar ve şarkılar,2026-09-27 16:00,2026-09-27 18:30,no,Asociación Cultural Iberoamericana e. V.,"Bischofsweg 74, 01099 Dresden",Neustadt,ACI – Asociación Cultural Iberoamericana e.V.,3,,es,languages;music,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/6a75feae-a730-4479-bfca-751ad4e4c4a1,"An afternoon of storytelling and songs in Spanish for children from 3 and their families, hosted by Asociación Cultural Iberoamericana e.V. during the Intercultural Days. Time to chat and snacks at the end. Free.","Ein Nachmittag mit Geschichten und Musik auf Spanisch für Kinder ab drei Jahren und Familien, veranstaltet von der Asociación Cultural Iberoamericana e. V. im Rahmen der Interkulturellen Tage. Zum Schluss Zeit für Gespräche und Knabbereien. Eintritt frei.","Сказки и песни на испанском языке для детей от 3 лет и их семей. Организатор — Asociación Cultural Iberoamericana e. V., в рамках Межкультурных дней. В конце — время для общения и угощения. Вход свободный.","Казки та пісні іспанською мовою для дітей від 3 років та їхніх родин. Організатор — Asociación Cultural Iberoamericana e. V., у межах Міжкультурних днів. Наприкінці — час для спілкування та частування. Вхід вільний.",حكايات وأغانٍ باللغة الإسبانية للأطفال من عمر 3 سنوات وعائلاتهم، تنظمها جمعية Asociación Cultural Iberoamericana e. V. ضمن الأيام بين الثقافات. في النهاية وقت للحديث ووجبات خفيفة. الدخول مجاني.,3 yaş üstü çocuklar ve aileleri için İspanyolca masal anlatımı ve şarkılar; Kültürlerarası Günler kapsamında Asociación Cultural Iberoamericana e. V. düzenliyor. Sonunda sohbet ve atıştırmalıklar için zaman var. Giriş ücretsiz.,https://www.dresden.de/apps_ext/IKT/event/6a75feae-a730-4479-bfca-751ad4e4c4a1,88b8172d-d388-4a40-8e10-d38e64c0bb84
,,Picture-book cinema at Pieschen Library,"Bilderbuchkino: Die unglaubliche Geschichte vom verrücktesten, riesigsten Mitmach-Mobil der Welt",Кино по книжке с картинками в библиотеке Пишен,Кіно за книжкою з картинками в бібліотеці Пішен,سينما الكتب المصورة في مكتبة بيشن,Pieschen Kütüphanesi'nde resimli kitap sineması,2026-09-28 16:30,2026-09-28 17:00,no,Bibliothek Pieschen,"Bürgerstraße 63, 01127 Dresden",Pieschen,,3,,de,library,free,"Free, no registration",https://www.bibo-dresden.de/de/events-kids/pieschen/20260928_Pieschen_BBK.php,"A volunteer reader shows a picture book on the big screen: Bruno's little red car is wrecked in heavy traffic, so he builds a crazy new vehicle from the crashed cars. For children from 3 and families. Free, no registration.","Vorlesenachmittag mit der Vorlesepatin: Brunos kleines rotes Auto geht im dicken Verkehr zu Schrott – und er baut aus den Autowracks ein verrücktes neues Fahrzeug. Für Kinder ab 3 Jahren und Familien. Eintritt frei, ohne Anmeldung.","Чтица-волонтёр показывает книжку с картинками на большом экране: маленькая красная машинка Бруно разбивается в пробке, и он строит из обломков безумный новый автомобиль. Для детей от 3 лет и семей. Бесплатно, без записи.","Волонтерка-читачка показує книжку з картинками на великому екрані: маленька червона машинка Бруно розбивається в заторі, і він будує з уламків шалений новий автомобіль. Для дітей від 3 років і родин. Безкоштовно, без реєстрації.",قارئة متطوعة تعرض كتابًا مصورًا على الشاشة الكبيرة: سيارة برونو الحمراء الصغيرة تتحطم في زحام المرور، فيبني من السيارات المحطمة مركبة جديدة مجنونة. للأطفال من عمر 3 سنوات والعائلات. مجانًا ودون تسجيل.,"Gönüllü bir okuyucu resimli bir kitabı büyük ekranda gösteriyor: Bruno'nun küçük kırmızı arabası yoğun trafikte hurdaya döner ve o da hurda arabalardan çılgın yeni bir araç yapar. 3 yaş üstü çocuklar ve aileler için. Ücretsiz, kayıt gerekmez.",https://www.bibo-dresden.de/de/events-kids/pieschen/20260928_Pieschen_BBK.php,3cc3f649-1b4d-45e0-948d-5cbae1221ab5
,,Familien-Nami: family afternoon at Familienzentrum PAULINE,Familien-Nami,Familien-Nami: семейный день в Familienzentrum PAULINE,Familien-Nami: родинний день у Familienzentrum PAULINE,Familien-Nami: عصرية عائلية في Familienzentrum PAULINE,Familien-Nami: Familienzentrum PAULINE'de aile öğleden sonrası,2026-09-30 15:30,2026-09-30 17:30,no,Familienzentrum PAULINE,"Papstdorfer Straße 41, 01277 Dresden",Blasewitz,,,,de,family_cafe;parent_meetup;art,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/bb483d4a-2abe-40b7-b9e5-7f31dad04632,"Open family afternoon ('Nami' is Swiss German for afternoon): chatting, games and coffee, plus a craft activity about first names. The whole family is welcome, big or small. Intercultural Days event by Familienzentrum PAULINE. Free.","„Wie heißt du?“ Offener Familiennachmittag („Nami“ ist Schweizerdeutsch für Nachmittag): Plaudern, Spielen, Kaffeetrinken und Basteln rund um unsere Vornamen. Die ganze Familie ist willkommen – egal wie groß oder klein. Interkulturelle Tage, Familienzentrum PAULINE. Eintritt frei.","Открытая семейная встреча («Nami» — «после обеда» на швейцарском немецком): общение, игры, кофе и поделки на тему имён. Приглашается вся семья — большие и маленькие. Мероприятие Межкультурных дней от Familienzentrum PAULINE. Вход свободный.","Відкрита родинна зустріч («Nami» — «пообідній час» швейцарською німецькою): спілкування, ігри, кава та творчість на тему імен. Запрошується вся родина — великі й малі. Захід Міжкультурних днів від Familienzentrum PAULINE. Вхід вільний.",لقاء عائلي مفتوح بعد الظهر (كلمة «Nami» تعني بعد الظهر بالألمانية السويسرية): دردشة وألعاب وقهوة، ونشاط أشغال يدوية حول الأسماء الأولى. العائلة كلها مرحب بها، كبارًا وصغارًا. فعالية ضمن الأيام بين الثقافات من Familienzentrum PAULINE. الدخول مجاني.,"Açık aile buluşması (""Nami"" İsviçre Almancasında öğleden sonra demek): sohbet, oyunlar, kahve ve isimler üzerine el işi etkinliği. Büyük küçük tüm aile davetli. Kültürlerarası Günler kapsamında Familienzentrum PAULINE etkinliği. Giriş ücretsiz.",https://www.dresden.de/apps_ext/IKT/event/bb483d4a-2abe-40b7-b9e5-7f31dad04632,f54327cc-b6c7-4a0c-ad53-627372dc6e46
,,"Family reading with Dayeon Auh: ""Ein Berg, ein Sturz, ein langes Leben""","Lesung für Familien mit Dayeon Auh: Ein Berg, ein Sturz, ein langes Leben","Семейные чтения с Дайон Ау: «Ein Berg, ein Sturz, ein langes Leben»","Родинні читання з Дайон Ау: «Ein Berg, ein Sturz, ein langes Leben»","قراءة عائلية مع دايون آوه: «Ein Berg, ein Sturz, ein langes Leben»","Dayeon Auh ile aile okuması: ""Ein Berg, ein Sturz, ein langes Leben""",2026-09-30 16:30,2026-09-30 18:00,no,Bibliothek Johannstadt,"Fetscherstraße 67, 01307 Dresden",Altstadt,,4,8,de,library;art,free,Free admission,https://www.bibo-dresden.de/de/events/johannstadt/20260930_IKT_Dayeon-Auh_Johannstadt.php,"Seoul-born illustrator Dayeon Auh reads her picture book based on a traditional Korean folk tale, talks with the children and draws characters and scenes live. For families with children aged 4–8. Part of the Intercultural Days. Free.","Die in Seoul geborene Illustratorin Dayeon Auh liest aus ihrem Buch nach einem traditionellen koreanischen Volksmärchen, spricht mit den Kindern und zeichnet live Figuren und Szenen. Für Familien mit Kindern zwischen 4 und 8 Jahren. Im Rahmen der Interkulturellen Tage. Eintritt frei.","Иллюстратор Дайон Ау, родом из Сеула, читает свою книжку с картинками по мотивам традиционной корейской народной сказки, беседует с детьми и рисует персонажей и сцены прямо на месте. Для семей с детьми 4–8 лет. В рамках Межкультурных дней. Вход свободный.","Ілюстраторка Дайон Ау, родом із Сеула, читає свою книжку з картинками за мотивами традиційної корейської народної казки, розмовляє з дітьми та малює персонажів і сцени наживо. Для родин із дітьми 4–8 років. У межах Міжкультурних днів. Вхід вільний.",تقرأ الرسامة دايون آوه، المولودة في سيول، من كتابها المصور المستوحى من حكاية شعبية كورية تقليدية، وتتحدث مع الأطفال وترسم الشخصيات والمشاهد مباشرة. للعائلات مع أطفال بين 4 و8 سنوات. ضمن الأيام بين الثقافات. الدخول مجاني.,"Seul doğumlu illüstratör Dayeon Auh, geleneksel bir Kore halk masalına dayanan resimli kitabından okuyor, çocuklarla sohbet ediyor ve karakterleri ile sahneleri canlı çiziyor. 4–8 yaş arası çocuklu aileler için. Kültürlerarası Günler kapsamında. Giriş ücretsiz.",https://www.bibo-dresden.de/de/events/johannstadt/20260930_IKT_Dayeon-Auh_Johannstadt.php,2f06cbd8-6b2d-48a0-8e6a-6ae821166711
,,Family afternoon with Max & Moritz at Blasewitz Library,Familiennachmittag mit Max & Moritz,Семейный день с «Максом и Морицем» в библиотеке Блазевиц,Родинний день з «Максом і Моріцом» у бібліотеці Блазевіц,عصرية عائلية مع «ماكس وموريتس» في مكتبة بلازيفيتس,Blasewitz Kütüphanesi'nde Max & Moritz ile aile öğleden sonrası,2026-10-01 15:00,2026-10-01 18:00,no,Bibliothek Blasewitz,"Tolkewitzer Straße 8, 01277 Dresden",Blasewitz,,4,,de,library;theatre;art,free,"Free, no registration",https://www.bibo-dresden.de/de/events-kids/blasewitz/20261001_Blasewitz_Familiennachmittag.php,"Colourful family afternoon at the library with creative activities to discover, play and try out. Highlight at 16:00: the crank theatre (Kurbeltheater) shows 'Max und Moritz'. For children from 4. Free, no registration.","Kunterbunter Nachmittag in der Bibliothek Blasewitz mit kreativen Aktionen zum Entdecken, Spielen und Ausprobieren. Highlight um 16 Uhr: das Kurbeltheater mit „Max und Moritz“. Für Kinder ab 4 Jahren. Eintritt frei, ohne Anmeldung.","Яркий семейный день в библиотеке: творческие занятия, игры и эксперименты. Главное событие в 16:00 — Kurbeltheater (театр картинок на рулоне) показывает «Макса и Морица». Для детей от 4 лет. Бесплатно, без записи.","Яскравий родинний день у бібліотеці: творчі заняття, ігри та експерименти. Головна подія о 16:00 — Kurbeltheater (театр картинок на рулоні) показує «Макса і Моріца». Для дітей від 4 років. Безкоштовно, без реєстрації.",عصرية عائلية ملونة في المكتبة مع أنشطة إبداعية للاكتشاف واللعب والتجربة. أبرز فقرة في الساعة 16:00: مسرح الصور الدوّار (Kurbeltheater) يعرض «ماكس وموريتس». للأطفال من عمر 4 سنوات. مجانًا ودون تسجيل.,"Kütüphanede keşfetmek, oynamak ve denemek için yaratıcı etkinliklerle dolu renkli bir aile öğleden sonrası. Saat 16:00'da öne çıkan: Kurbeltheater (kollu resim tiyatrosu) ""Max und Moritz""i sahneliyor. 4 yaş üstü çocuklar için. Ücretsiz, kayıt gerekmez.",https://www.bibo-dresden.de/de/events-kids/blasewitz/20261001_Blasewitz_Familiennachmittag.php,cb837e5e-d8f7-42d0-82a2-f2d4cc222cdb
,,Heure du conte (French story hour): The Carnival of the Animals,Heure du conte: Der Karneval der Tiere (auf Französisch),Heure du conte: «Карнавал животных» (на французском),Heure du conte: «Карнавал тварин» (французькою),ساعة الحكايات بالفرنسية: «كرنفال الحيوانات»,Heure du conte: Hayvanlar Karnavalı (Fransızca),2026-10-02 16:00,2026-10-02 17:30,no,"Institut français Dresden, Mediathek","Lingnerallee 3, 01069 Dresden",Altstadt,,3,7,fr,languages;library;art;music,free,Free; registration requested (by 30 Sep per the city's Intercultural Days calendar) with the Institut français media library,https://www.institutfrancais.de/de/dresden/event/heure-du-conte-29164,"Story hour in French for children aged 3–7: kids get to know Camille Saint-Saëns' 'Carnival of the Animals', then craft an animal of their choice inspired by the illustrations. In the media library of the Institut français; Intercultural Days. Free; please register (by 30 Sep).","Märchenstunde auf Französisch für Kinder von 3 bis 7 Jahren: Die Kinder lernen die Geschichte vom „Karneval der Tiere“ von Camille Saint-Saëns kennen und basteln danach, inspiriert von den Illustrationen, ein Tier ihrer Wahl. In der Mediathek des Institut français; Interkulturelle Tage. Eintritt frei, Voranmeldung erwünscht (bis 30.09.).","Час сказок на французском языке для детей 3–7 лет: дети знакомятся с историей «Карнавала животных» Камиля Сен-Санса, а затем мастерят животное на выбор по мотивам иллюстраций. В медиатеке Institut français; Межкультурные дни. Бесплатно, желательна предварительная запись (до 30.09).","Година казок французькою мовою для дітей 3–7 років: діти знайомляться з історією «Карнавалу тварин» Каміля Сен-Санса, а потім майструють тварину на вибір за мотивами ілюстрацій. У медіатеці Institut français; Міжкультурні дні. Безкоштовно, бажана попередня реєстрація (до 30.09).",ساعة حكايات باللغة الفرنسية للأطفال من 3 إلى 7 سنوات: يتعرف الأطفال على قصة «كرنفال الحيوانات» لكامي سان صانز، ثم يصنعون حيوانًا من اختيارهم مستوحى من الرسوم. في المكتبة الإعلامية لـ Institut français، ضمن الأيام بين الثقافات. مجانًا، ويُرجى التسجيل المسبق (حتى 30.09).,"3–7 yaş arası çocuklar için Fransızca masal saati: Çocuklar Camille Saint-Saëns'ın ""Hayvanlar Karnavalı"" hikâyesini tanıyor, ardından resimlerden ilham alarak seçtikleri bir hayvanı yapıyor. Institut français medya kütüphanesinde; Kültürlerarası Günler. Ücretsiz, ön kayıt rica ediliyor (30.09'a kadar).",https://www.institutfrancais.de/de/dresden/event/heure-du-conte-29164,17a05fce-4dab-4ac2-898c-9d89d54cd1af
,,Discovery Day at Zoo Dresden,Entdeckertag im Zoo Dresden,День открытий в зоопарке Дрездена,День відкриттів у зоопарку Дрездена,يوم الاستكشاف في حديقة حيوان دريسدن,Dresden Hayvanat Bahçesi'nde Keşif Günü,2026-10-03 10:00,2026-10-03 17:00,no,Zoo Dresden,"Tiergartenstraße 1, 01219 Dresden",Altstadt,,,,de,nature,paid,"Zoo day ticket (summer price, zoo-dresden.de/besuch-planen/preise): adults €19, children 3–16 €10; the event page lists no extra fee",https://www.zoo-dresden.de/veranstaltung/entdeckertag/,"Discovery day for young and old: children's carousel, hands-on experiments by the 'Neugierexpress' on the penguin meadow, family magic show by Pascal Dalchau (14:30, 15:30, 16:30) and keeper meet-ups with snow leopard, koala, meerkats, kangaroos and penguins.","Entdeckertag für Klein und Groß: Kinderkarussell, knifflige Mitmachexperimente vom Neugierexpress auf der Pinguinwiese, Familienprogramm „Magie in Bewegung“ mit Pascal Dalchau (14:30/15:30/16:30 Uhr am Zookasperhaus) und Treffpunkte bei Schneeleopard, Koala, Erdmännchen, Riesenkänguru und Pinguinen.","День открытий для детей и взрослых: детская карусель, интерактивные опыты от «Neugierexpress» на пингвиньей лужайке, семейное шоу фокусника Паскаля Дальхау (14:30, 15:30, 16:30) и встречи у снежного барса, коалы, сурикатов, кенгуру и пингвинов.","День відкриттів для малих і дорослих: дитяча карусель, інтерактивні досліди від «Neugierexpress» на пінгвінячій галявині, родинне шоу фокусника Паскаля Дальхау (14:30, 15:30, 16:30) та зустрічі біля сніжного барса, коали, сурикатів, кенгуру й пінгвінів.",يوم استكشاف للصغار والكبار: دوّامة خيل للأطفال، وتجارب تفاعلية من «Neugierexpress» في مرج البطاريق، وعرض سحري عائلي مع باسكال دالشاو (14:30 و15:30 و16:30)، ولقاءات عند نمر الثلج والكوالا والسرقاط والكنغر والبطاريق.,"Küçükler ve büyükler için keşif günü: çocuk atlıkarıncası, penguen çayırında ""Neugierexpress"" ile uygulamalı deneyler, Pascal Dalchau'nun aile sihirbazlık gösterisi (14:30, 15:30, 16:30) ve kar leoparı, koala, mirket, kanguru ve penguen buluşmaları.",https://www.zoo-dresden.de/veranstaltung/entdeckertag/,4ddc892a-069f-47b4-8dda-369578e7287a
,,My window to the Amazon – workshop for kids,Mein Fenster zum Amazonas,Моё окно в Амазонию — мастерская для детей,Моє вікно в Амазонію — майстерня для дітей,نافذتي على الأمازون – ورشة للأطفال,Amazon'a Açılan Pencerem – çocuk atölyesi,2026-10-03 10:00,2026-10-03 12:00,no,"HAUS DER BRÜCKE, Saal ""Ella""","Rähnitzgasse 8, 01097 Dresden",Neustadt,,8,,de,art;nature,free,"Free; max. 10 places, registration by 30 Sep",https://www.dresden.de/apps_ext/IKT/event/e145fb85-14f3-4635-ab90-9541689bad41,"Playful workshop by BluoVerda Deutschland e.V. for children from 8: discover the Amazon rainforest by combining maps and drawing – geography, nature and human identity. Intercultural Days. Free; max. 10 places, register by 30 Sep.","Spielerischer Workshop von BluoVerda Deutschland e. V. für Kinder ab 8 Jahren: den Amazonas-Regenwald über Karten und Zeichnen entdecken – Geografie, Natur und menschliche Identität. Interkulturelle Tage. Eintritt frei; max. zehn Plätze, Anmeldung bis 30.09.","Игровая мастерская от BluoVerda Deutschland e. V. для детей от 8 лет: знакомство с тропическим лесом Амазонии через карты и рисунки — география, природа и человеческая идентичность. Межкультурные дни. Бесплатно; не более 10 мест, запись до 30.09.","Ігрова майстерня від BluoVerda Deutschland e. V. для дітей від 8 років: знайомство з тропічним лісом Амазонії через мапи й малювання — географія, природа та людська ідентичність. Міжкультурні дні. Безкоштовно; до 10 місць, реєстрація до 30.09.",ورشة مرحة من BluoVerda Deutschland e. V. للأطفال من عمر 8 سنوات: اكتشاف غابات الأمازون المطيرة عبر الخرائط والرسم – الجغرافيا والطبيعة والهوية الإنسانية. ضمن الأيام بين الثقافات. مجانًا؛ 10 أماكن كحد أقصى، التسجيل حتى 30.09.,"BluoVerda Deutschland e. V.'den 8 yaş üstü çocuklara eğlenceli atölye: Amazon yağmur ormanını haritalar ve çizimle keşfetmek – coğrafya, doğa ve insan kimliği. Kültürlerarası Günler. Ücretsiz; en fazla 10 kişi, 30.09'a kadar kayıt.",https://www.dresden.de/apps_ext/IKT/event/e145fb85-14f3-4635-ab90-9541689bad41,ee23b8c7-8b67-4937-aa41-2aa8ae60fe53
